,commentCount,dislikeCount,favoriteCount,likeCount,v_id,v_title,viewCount
4,261,956,0,3783,B1V55qdavJE,Naga Chaitanya Prank call to Samantha | Samantha`s epic punch | MUST WATCH | rarandoi veduka chuddam,862237
5,675,1974,0,7372,wRpfUSq82Xk,CUTTING HEADPHONES AT GYM PRANK - 2017 Pranks,186085
6,24865,62361,0,132730,ieTPc80m5PQ,"CRAZY PRANK ON GIRLFRIEND!! (10,000 RED CUPS)",10188264
7,1053,493,0,6431,U8vpyG2M9Dw,ITCHING BAIT PHONE PRANK!!,184716
8,7820,2022,0,41600,CxqnPMIz-wM,Break Up PRANK turns into PROPOSAL! GONE WRONG!,1043694
9,5446,3359,0,101524,IvZsHES38_8,"DROPPING $100,000 PRANK!!",3577150
10,133,16,0,686,1m8BSXrEJoE,BREAKING UP WITH MY GIRLFRIEND *PRANK* GONE WRONG,10783
11,3424,1676,0,66154,tXlkzN5AaLo,My BRO has to STOP **PRANK!**,637196
12,1333,557,0,14733,mnrK3sPjPIc,Asian Nintendo Switch Addiction Prank,324771
13,442,201,0,3567,OJnumvI4gB8,Bait Backpack Water Balloon Prank,97282
14,1838,374,0,12135,bzMseyIMWTM,TATTOO PRANK!! (GONE WRONG),146242
15,24573,21121,0,236064,oVm7FkQI4BM,SHAMPOO PRANK PART 7! | HoomanTV,26856389
16,15209,15592,0,110251,6YH-K-cj6TY,GOLD DIGGER PRANK PART 1! | HoomanTV,10711870
17,4663,1164,0,37917,CceotRU649o,BLINDFOLD PRANK ON MY GIRLFRIEND,715951
18,5579,6537,0,48355,ePbUeHxNzKI,GOLD DIGGER PRANK PART 3! | HoomanTV,4255584
19,1985,2807,0,28373,xeM3_ZkvlDk,FIDGET SPINNER IN HAPPY MEAL PRANK,1954580
20,6994,982,0,119099,VPAxmdabBBg,CRAZY SNAKE PRANK ON GIRLFRIEND!!!,1071354
21,20810,3849,0,17437,01TBb05V1TA,WE GOT JAKE PAUL ARRESTED! *PRANK WARS*,287679
22,1250,476,0,10884,UevJT8wCu38,CAUGHT GIRLFRIEND CHEATING PRANK!! (GONE WRONG),1711573
